HEADER;;PRECINCT;REGISTERED;BALLOTS;TURNOUT;;TOTAL_S;DEM_S;REP_S;;;;;;;;;TOTAL_I;BIDEN;TRUMP;;;;;;;;;REP_PERCENT;T_MINUS_R;;IND_PERCENT;;;
COMMENT;;;;;;;;Nur straight;;;;;;;;;;Nur individualle;;;Achtung, das ist die Summe, mit straight votes!;;;;;;;;;;Min;16,1;;;
COMMENT;;;;;;;;;;Straight Party;;;;;;;;;;;Individual;;;;;;;;;;Max;55,7;;;
COMMENT;;TOTALS: 252 of 252;Registered voters;Ballots Cast;Turnout;;Total;DEM %;REP %;Democratic Party;Republican Party;Libertarian Party;US Taxpayers Party;Working Class Party;Green Party;Natural Law Party;;Total;Biden %;Trump %;Joseph R. Biden w/ Kamala D. Harris;Donald J. Trump w/ Michael R. Pence;Jo Jorgensen w/ Jeremy Cohen;Don Blankenship w/ William Mohr;Howie Hawkins w/ Angela Walker;Rocky De La Fuente w/ Darcy Richardson;Total write-in;;REP %;Trump % - REP %;;Ind %;;;
DATA;;Grandville City Precinct 1;2043;1590;77.83%;;962;41,9;56,2;403;541;13;1;2;1;1;;622;59,2;36,2;771;766;39;0;4;1;3;;56,2;-20,1;;39,3;;;
DATA;;Grandville City Precinct 2;2123;1558;73.39%;;923;39,3;58,7;363;542;6;3;4;3;2;;632;53,0;41,9;698;807;36;2;9;0;3;;58,7;-16,8;;40,6;;;
DATA;;Grandville City Precinct 3;2273;1764;77.61%;;1049;31,7;67,2;333;705;6;0;2;3;0;;703;48,1;46,9;671;1035;31;2;6;1;6;;67,2;-20,3;;40,1;;;
DATA;;Grandville City Precinct 4;2091;1788;85.51%;;993;31,8;67,3;316;668;6;1;1;1;0;;783;50,3;46,1;710;1029;24;4;3;1;5;;67,3;-21,2;;44,1;;;
DATA;;Grandville City Precinct 5;2302;1821;79.11%;;1046;34,8;64,0;364;669;10;0;2;0;1;;765;48,2;46,8;733;1027;33;4;4;2;8;;64,0;-17,2;;42,2;;;
DATA;;Grandville City Precinct 6;1818;1449;79.7%;;847;35,7;63,2;302;535;5;1;1;2;1;;596;51,5;45,5;609;806;20;0;3;3;2;;63,2;-17,7;;41,3;;;
DATA;;Grattan Township Precinct 1;1633;1262;77.28%;;687;22,6;76,4;155;525;2;0;2;3;0;;571;38,2;57,8;373;855;16;1;5;1;7;;76,4;-18,6;;45,4;;;
DATA;;Grattan Township Precinct 2;1737;1418;81.64%;;759;33,1;66,1;251;502;2;2;1;1;0;;651;47,6;48,7;561;819;18;3;2;2;5;;66,1;-17,4;;46,2;;;
DATA;;Kentwood City Ward 1 Precinct 1;2302;1404;60.99%;;983;57,2;40,9;562;402;8;0;9;2;0;;411;56,2;41,8;793;574;16;3;4;2;2;;40,9;1,0;;29,5;;;
DATA;;Kentwood City Ward 1 Precinct 2;3016;2186;72.48%;;1383;52,6;44,8;728;619;19;3;5;7;2;;793;58,9;38,2;1195;922;42;4;6;4;3;;44,8;-6,5;;36,4;;;
DATA;;Kentwood City Ward 1 Precinct 3;1659;1233;74.32%;;764;53,7;44,2;410;338;5;5;1;2;3;;462;57,6;39,0;676;518;20;4;2;2;4;;44,2;-5,3;;37,7;;;
DATA;;Kentwood City Ward 1 Precinct 4;1520;913;60.07%;;600;56,0;41,0;336;246;6;4;4;3;1;;308;58,4;42,9;516;378;10;0;2;1;1;;41,0;1,9;;33,9;;;
DATA;;Kentwood City Ward 1 Precinct 5;1296;847;65.35%;;535;54,6;43,4;292;232;5;1;3;1;1;;309;47,6;47,6;439;379;16;4;4;0;2;;43,4;4,2;;36,6;;;
DATA;;Kentwood City Ward 1 Precinct 6;2561;1568;61.23%;;1097;51,7;46,5;567;510;8;2;6;3;1;;465;55,5;42,6;825;708;20;1;5;0;3;;46,5;-3,9;;29,8;;;
DATA;;Kentwood City Ward 1 Precinct 7;2169;1464;67.5%;;973;63,6;34,9;619;340;4;3;4;3;0;;487;63,7;34,3;929;507;19;0;2;1;2;;34,9;-0,7;;33,4;;;
DATA;;Kentwood City Ward 1 Precinct 8;2525;1980;78.42%;;1163;56,7;41,7;660;485;6;2;7;2;1;;805;57,8;38,5;1125;795;25;2;8;0;13;;41,7;-3,2;;40,9;;;
DATA;;Kentwood City Ward 1 Precinct 9;2372;1563;65.89%;;1108;61,2;35,9;678;398;11;3;11;6;1;;446;59,2;37,0;942;563;30;2;9;0;8;;35,9;1,1;;28,7;;;
DATA;;Kentwood City Ward 2 Precinct 10;2411;1846;76.57%;;1155;55,7;42,7;643;493;9;3;6;0;1;;682;59,8;38,1;1051;753;21;2;2;3;5;;42,7;-4,6;;37,1;;;
DATA;;Kentwood City Ward 2 Precinct 11;3154;2377;75.36%;;1439;57,5;41,6;827;599;8;1;1;2;1;;926;63,0;33,0;1410;905;31;4;2;2;11;;41,6;-8,6;;39,2;;;
DATA;;Kentwood City Ward 2 Precinct 12;1814;1330;73.32%;;869;65,2;33,7;567;293;4;3;2;0;0;;454;60,6;37,0;842;461;12;2;3;0;3;;33,7;3,3;;34,3;;;
DATA;;Kentwood City Ward 2 Precinct 13;2153;1483;68.88%;;1011;52,8;46,3;534;468;4;0;2;2;1;;466;69,3;27,5;857;596;11;2;6;1;4;;46,3;-18,8;;31,6;;;
DATA;;Kentwood City Ward 2 Precinct 14;886;636;71.78%;;398;58,0;39,7;231;158;3;0;2;4;0;;235;68,9;28,5;393;225;11;0;1;0;3;;39,7;-11,2;;37,1;;;
DATA;;Kentwood City Ward 2 Precinct 15;3164;1883;59.51%;;1317;71,1;26,3;937;346;15;3;10;3;3;;556;67,3;32,0;1311;524;19;3;7;1;8;;26,3;5,7;;29,7;;;
DATA;;Kentwood City Ward 2 Precinct 16;2805;2222;79.22%;;1242;53,7;45,5;667;565;4;0;2;1;3;;961;64,2;32,7;1284;879;26;0;5;0;9;;45,5;-12,8;;43,6;;;
DATA;;Kentwood City Ward 2 Precinct 17;1801;1023;56.8%;;749;72,9;26,3;546;197;2;0;3;1;0;;266;63,2;33,1;714;285;8;2;3;0;3;;26,3;6,8;;26,2;;;
DATA;;Kentwood City Ward 2 Precinct 18;2285;1340;58.64%;;874;68,8;28,9;601;253;12;2;3;2;1;;462;68,2;27,9;916;382;29;1;5;1;2;;28,9;-1,0;;34,6;;;
DATA;;Lowell Charter Township Precinct 1;2604;2080;79.88%;;1138;29,5;69,4;336;790;8;1;2;1;0;;932;45,2;50,0;757;1256;37;5;5;1;9;;69,4;-19,4;;45,0;;;
DATA;;Lowell Charter Township Precinct 2;2521;1869;74.14%;;1032;40,5;57,5;418;593;5;3;6;4;3;;831;50,9;44,6;841;964;40;4;4;2;8;;57,5;-12,8;;44,6;;;
DATA;;Lowell City Precinct 1;1686;1223;72.54%;;644;43,9;53,0;283;341;7;1;3;8;1;;574;53,1;43,2;588;589;26;2;7;3;3;;53,0;-9,7;;47,1;;;
DATA;;Lowell City Precinct 2;1538;997;64.82%;;584;36,8;61,5;215;359;8;0;2;0;0;;411;47,7;47,7;411;555;18;3;3;0;5;;61,5;-13,8;;41,3;;;
DATA;;Nelson Township Precinct 1;2082;1451;69.69%;;905;26,6;72,0;241;652;6;0;5;0;1;;543;32,4;63,9;417;999;25;3;1;1;2;;72,0;-8,1;;37,5;;;
DATA;;Nelson Township Precinct 2;1772;1363;76.92%;;791;28,8;70,2;228;555;4;0;2;1;1;;565;34,0;61,8;420;904;27;3;1;1;0;;70,2;-8,4;;41,7;;;
DATA;;Oakfield Township Precinct 1;1633;1266;77.53%;;723;31,7;67,2;229;486;0;1;7;0;0;;539;41,6;56,6;453;791;14;1;1;0;2;;67,2;-10,6;;42,7;;;
DATA;;Oakfield Township Precinct 2;1968;1426;72.46%;;834;29,6;68,1;247;568;12;0;4;2;1;;588;36,7;62,1;463;933;23;1;1;0;1;;68,1;-6,0;;41,4;;;
DATA;;Oakfield Township Precinct 3;1456;1094;75.14%;;660;31,5;67,6;208;446;6;0;0;0;0;;427;42,2;54,8;388;680;17;0;2;0;0;;67,6;-12,8;;39,3;;;
DATA;;Plainfield Charter Township Precinct 1;2804;2358;84.09%;;1230;37,1;62,3;456;766;1;0;4;3;0;;1114;48,7;47,8;998;1298;31;2;3;2;10;;62,3;-14,5;;47,5;;;
DATA;;Plainfield Charter Township Precinct 2;2556;2023;79.15%;;1098;34,1;64,4;374;707;11;0;6;0;0;;917;47,3;49,9;808;1165;32;2;4;0;4;;64,4;-14,4;;45,5;;;
DATA;;Plainfield Charter Township Precinct 3;2208;1498;67.84%;;861;48,4;49,6;417;427;5;1;4;6;1;;636;50,9;44,5;741;710;35;2;5;3;1;;49,6;-5,1;;42,5;;;
DATA;;Plainfield Charter Township Precinct 4;2461;1814;73.71%;;954;48,1;50,3;459;480;5;2;2;6;0;;852;56,0;40,8;936;828;31;0;6;1;4;;50,3;-9,5;;47,2;;;
DATA;;Plainfield Charter Township Precinct 5;2238;1737;77.61%;;925;41,2;56,8;381;525;7;1;7;3;1;;809;54,3;42,3;820;867;30;5;6;3;3;;56,8;-14,5;;46,7;;;
DATA;;Plainfield Charter Township Precinct 6;3310;2627;79.37%;;1429;32,1;66,4;458;949;16;1;3;2;0;;1185;50,7;46,8;1059;1504;33;7;3;0;8;;66,4;-19,6;;45,3;;;
DATA;;Plainfield Charter Township Precinct 7;3016;2448;81.17%;;1317;39,0;60,4;513;795;4;1;1;3;0;;1117;56,3;41,2;1142;1255;17;1;9;3;7;;60,4;-19,2;;45,9;;;
DATA;;Plainfield Charter Township Precinct 8;2948;2276;77.2%;;1158;42,5;55,6;492;644;12;2;2;5;1;;1110;57,0;40,1;1125;1089;43;2;7;0;2;;55,6;-15,5;;48,9;;;
DATA;;Plainfield Charter Township Precinct 9;2676;2090;78.1%;;1169;37,8;60,9;442;712;7;3;4;1;0;;909;50,7;47,1;903;1140;21;5;3;3;3;;60,9;-13,8;;43,7;;;
DATA;;Plainfield Charter Township Precinct 10;1886;1604;85.05%;;853;36,8;62,1;314;530;5;1;0;2;1;;745;49,9;45,9;686;872;26;1;4;1;8;;62,1;-16,2;;46,6;;;
DATA;;Plainfield Charter Township Precinct 11;1836;1560;84.97%;;740;34,9;64,3;258;476;5;0;0;1;0;;810;52,2;43,3;681;827;25;1;2;0;14;;64,3;-21,0;;52,3;;;
DATA;;Rockford City Precinct 1;1984;1510;76.11%;;846;43,4;55,2;367;467;7;1;2;2;0;;658;59,0;38,1;755;718;20;3;4;2;2;;55,2;-17,1;;43,8;;;
DATA;;Rockford City Precinct 2;2718;2269;83.48%;;1114;42,0;57,2;468;637;7;0;1;1;0;;1146;60,3;36,2;1159;1052;33;2;4;1;9;;57,2;-21,0;;50,7;;;
DATA;;Solon Township Precinct 1;2005;1485;74.06%;;886;26,4;72,0;234;638;4;3;5;1;1;;593;39,6;60,0;469;994;13;3;0;0;0;;72,0;-12,0;;40,1;;;
DATA;;Solon Township Precinct 2;3053;2232;73.11%;;1361;23,9;74,2;325;1010;12;2;8;3;1;;867;39,3;56,6;666;1501;46;4;8;2;1;;74,2;-17,6;;38,9;;;
DATA;;Sparta Township Precinct 1;3274;2236;68.3%;;1329;36,2;62,3;481;828;7;2;6;4;1;;896;46,3;48,8;896;1265;39;6;6;3;10;;62,3;-13,5;;40,3;;;
DATA;;Sparta Township Precinct 2;1713;1271;74.2%;;789;25,9;72,1;204;569;6;2;6;1;1;;474;33,3;64,1;362;873;17;3;5;0;3;;72,1;-8,0;;37,5;;;
DATA;;Sparta Township Precinct 3;2145;1569;73.15%;;909;28,2;69,6;256;633;12;2;3;2;1;;657;39,0;59,8;512;1026;17;2;3;1;5;;69,6;-9,8;;42,0;;;
DATA;;Spencer Township Precinct 1;2010;1540;76.62%;;948;25,8;72,6;245;688;4;0;10;0;1;;585;35,9;62,1;455;1051;20;0;4;0;3;;72,6;-10,5;;38,2;;;
DATA;;Spencer Township Precinct 2;1376;1054;76.6%;;685;20,6;78,0;141;534;4;0;5;0;1;;368;32,1;66,6;259;779;7;3;3;0;2;;78,0;-11,4;;34,9;;;
DATA;;Tyrone Township Precinct 1;1932;1429;73.96%;;884;21,6;77,0;191;681;7;1;3;1;0;;539;32,3;64,9;365;1031;17;3;5;0;2;;77,0;-12,1;;37,9;;;
DATA;;Tyrone Township Precinct 2;1700;1129;66.41%;;682;24,0;73,6;164;502;5;3;4;3;1;;446;31,2;65,2;303;793;23;5;3;0;1;;73,6;-8,4;;39,5;;;
DATA;;Vergennes Township Precinct 1;2008;1762;87.75%;;983;29,7;69,3;292;681;6;2;1;1;0;;774;42,2;54,1;619;1100;25;4;3;3;3;;69,3;-15,1;;44,1;;;
DATA;;Vergennes Township Precinct 2;1728;1458;84.38%;;829;30,9;68,4;256;567;4;1;0;1;0;;625;48,5;46,6;559;858;23;2;5;0;7;;68,4;-21,8;;43,0;;;
DATA;;Walker City Ward 1 Precinct 1;2259;1379;61.04%;;826;57,4;40,0;474;330;7;3;7;5;0;;549;59,4;39,2;800;545;16;2;8;3;1;;40,0;-0,8;;39,9;;;
DATA;;Walker City Ward 1 Precinct 2;1835;1419;77.33%;;804;42,5;56,5;342;454;5;0;2;1;0;;609;50,1;46,0;647;734;24;1;1;3;3;;56,5;-10,5;;43,1;;;
DATA;;Walker City Ward 1 Precinct 3;2158;1612;74.7%;;928;45,8;52,9;425;491;7;0;3;2;0;;681;55,1;42,0;800;777;23;2;6;0;1;;52,9;-10,9;;42,3;;;
DATA;;Walker City Ward 2 Precinct 4;2488;1995;80.18%;;1111;34,8;64,0;387;711;10;0;1;2;0;;876;51,0;45,4;834;1109;35;1;4;0;4;;64,0;-18,6;;44,1;;;
DATA;;Walker City Ward 2 Precinct 5;2039;1661;81.46%;;892;39,2;59,5;350;531;7;1;1;2;0;;763;45,5;50,6;697;917;24;5;6;2;4;;59,5;-8,9;;46,1;;;
DATA;;Walker City Ward 2 Precinct 6;2044;1524;74.56%;;856;39,7;58,6;340;502;2;2;3;5;2;;660;48,8;49,5;662;829;11;3;6;1;4;;58,6;-9,1;;43,5;;;
DATA;;Walker City Ward 3 Precinct 7;2149;1709;79.53%;;949;42,5;56,1;403;532;10;0;2;1;1;;747;49,3;46,1;771;876;28;5;3;0;13;;56,1;-10,0;;44,0;;;
DATA;;Walker City Ward 3 Precinct 8;2017;1672;82.9%;;1028;29,4;69,6;302;715;7;1;2;1;0;;641;46,0;48,7;597;1027;36;3;2;0;4;;69,6;-20,9;;38,4;;;
DATA;;Walker City Ward 3 Precinct 9;2154;1655;76.83%;;952;38,9;60,0;370;571;8;1;2;0;0;;697;59,0;36,9;781;828;30;2;5;1;2;;60,0;-23,1;;42,3;;;
DATA;;Wyoming City Ward 1 Precinct 1;1955;1216;62.2%;;823;59,2;38,8;487;319;8;2;4;1;2;;391;56,0;41,9;706;483;17;1;6;1;0;;38,8;3,2;;32,2;;;
DATA;;Wyoming City Ward 1 Precinct 2;1408;722;51.28%;;507;58,2;38,9;295;197;7;0;7;1;0;;213;56,3;40,8;415;284;17;1;1;0;2;;38,9;2,0;;29,6;;;
DATA;;Wyoming City Ward 1 Precinct 3;2310;1321;57.19%;;936;58,3;38,8;546;363;9;4;11;1;2;;384;60,2;40,1;777;517;12;4;2;4;4;;38,8;1,3;;29,1;;;
DATA;;Wyoming City Ward 1 Precinct 4;2146;1503;70.04%;;976;49,6;49,0;484;478;7;1;4;1;1;;524;51,5;45,2;754;715;19;2;3;0;7;;49,0;-3,7;;34,9;;;
DATA;;Wyoming City Ward 1 Precinct 5;2255;1435;63.64%;;902;57,4;41,0;518;370;4;0;6;2;2;;532;58,1;37,0;827;567;21;3;7;1;8;;41,0;-4,0;;37,1;;;
DATA;;Wyoming City Ward 1 Precinct 6;1712;1016;59.35%;;651;55,1;42,5;359;277;3;3;3;4;2;;364;54,4;43,4;557;435;17;1;2;2;1;;42,5;0,9;;35,9;;;
DATA;;Wyoming City Ward 1 Precinct 7;2094;1497;71.49%;;895;41,2;57,0;369;510;6;4;2;1;3;;597;51,9;45,6;679;782;15;1;5;2;8;;57,0;-11,4;;40,0;;;
DATA;;Wyoming City Ward 1 Precinct 8;1383;787;56.91%;;549;53,7;43,2;295;237;7;0;6;2;2;;234;47,9;46,6;407;346;19;1;4;0;6;;43,2;3,4;;29,9;;;
DATA;;Wyoming City Ward 1 Precinct 9;2506;1400;55.87%;;963;60,5;36,7;583;353;14;3;5;2;3;;433;56,1;41,3;826;532;28;2;4;1;3;;36,7;4,7;;31,0;;;
DATA;;Wyoming City Ward 2 Precinct 10;1715;984;57.38%;;711;63,4;34,7;451;247;6;1;2;3;1;;265;60,0;35,8;610;342;14;1;5;1;3;;34,7;1,1;;27,2;;;
DATA;;Wyoming City Ward 2 Precinct 11;1589;856;53.87%;;606;72,8;24,9;441;151;6;0;2;3;3;;248;61,3;33,1;593;233;17;0;4;3;4;;24,9;8,1;;29,0;;;
DATA;;Wyoming City Ward 2 Precinct 12;1415;775;54.77%;;540;64,1;33,7;346;182;4;1;2;4;1;;232;57,8;40,1;480;275;11;1;3;0;2;;33,7;6,4;;30,1;;;
DATA;;Wyoming City Ward 2 Precinct 13;1768;1123;63.52%;;780;49,4;47,8;385;373;10;2;5;3;2;;338;56,2;40,2;575;509;21;5;5;0;3;;47,8;-7,6;;30,2;;;
DATA;;Wyoming City Ward 2 Precinct 14;1252;887;70.85%;;534;46,6;50,7;249;271;9;1;0;1;3;;350;49,1;44,6;421;427;26;1;4;0;5;;50,7;-6,2;;39,6;;;
DATA;;Wyoming City Ward 2 Precinct 15;1022;687;67.22%;;436;51,4;46,1;224;201;3;0;3;5;0;;249;50,6;46,6;350;317;11;0;4;0;3;;46,1;0,5;;36,4;;;
DATA;;Wyoming City Ward 2 Precinct 16;1420;961;67.68%;;627;45,0;53,4;282;335;6;1;2;1;0;;327;56,6;37,9;467;459;18;1;3;1;5;;53,4;-15,5;;34,3;;;
DATA;;Wyoming City Ward 2 Precinct 17;2161;1113;51.5%;;820;67,0;29,6;549;243;11;4;9;1;3;;288;61,8;38,2;727;353;17;1;5;2;3;;29,6;8,6;;26,0;;;
DATA;;Wyoming City Ward 2 Precinct 18;1286;863;67.11%;;532;48,7;48,5;259;258;4;2;7;2;0;;326;60,7;39,6;457;387;10;2;1;0;1;;48,5;-8,9;;38,0;;;
DATA;;Wyoming City Ward 2 Precinct 19;2032;1379;67.86%;;888;56,1;41,0;498;364;11;1;7;3;4;;488;52,3;44,7;753;582;31;2;6;0;2;;41,0;3,7;;35,5;;;
DATA;;Wyoming City Ward 2 Precinct 20;2106;1343;63.77%;;885;54,1;44,0;479;389;6;2;8;0;1;;454;55,7;41,2;732;576;18;7;1;2;3;;44,0;-2,8;;33,9;;;
DATA;;Wyoming City Ward 3 Precinct 21;2469;1712;69.34%;;1083;47,0;51,2;509;555;8;2;5;3;1;;623;50,4;46,2;823;843;27;2;7;1;3;;51,2;-5,0;;36,5;;;
DATA;;Wyoming City Ward 3 Precinct 22;1417;955;67.4%;;611;51,4;47,0;314;287;2;0;5;1;2;;344;55,2;42,2;504;432;11;0;3;1;4;;47,0;-4,8;;36,0;;;
DATA;;Wyoming City Ward 3 Precinct 23;2515;1478;58.77%;;929;59,6;37,4;554;347;15;1;6;5;1;;542;57,6;40,4;866;566;23;4;5;0;7;;37,4;3,1;;36,8;;;
DATA;;Wyoming City Ward 3 Precinct 24;2472;1600;64.72%;;968;45,2;52,3;438;506;13;2;5;3;1;;626;53,5;43,6;773;779;33;0;2;1;6;;52,3;-8,7;;39,3;;;
DATA;;Wyoming City Ward 3 Precinct 25;1783;1451;81.38%;;803;35,7;63,5;287;510;3;0;2;1;0;;640;48,4;47,3;597;813;24;3;2;0;4;;63,5;-16,2;;44,4;;;
DATA;;Wyoming City Ward 3 Precinct 26;1349;971;71.98%;;535;47,5;51,2;254;274;5;0;1;1;0;;430;63,3;33,7;526;419;18;0;2;0;0;;51,2;-17,5;;44,6;;;
DATA;;Wyoming City Ward 3 Precinct 27;1310;967;73.82%;;568;41,2;57,7;234;328;4;0;1;1;0;;391;58,1;37,9;461;476;15;0;3;0;4;;57,7;-19,9;;40,8;;;
DATA;;Wyoming City Ward 3 Precinct 28;2183;1784;81.72%;;1036;36,6;62,5;379;647;6;1;1;1;1;;741;51,6;45,1;761;981;28;1;2;0;4;;62,5;-17,4;;41,7;;;
DATA;;Wyoming City Ward 3 Precinct 29;1839;1538;83.63%;;845;38,6;60,8;326;514;2;1;0;2;0;;685;51,2;44,8;677;821;27;3;1;0;1;;60,8;-16,0;;44,8;;;
DATA;;Wyoming City Ward 3 Precinct 30;2198;1824;82.98%;;1092;29,7;70,1;324;765;3;0;0;0;0;;726;51,5;44,5;698;1088;21;2;3;0;6;;70,1;-25,6;;39,9;;;
