HEADER;;PRECINCT;REGISTERED;BALLOTS;TURNOUT;;TOTAL_S;DEM_S;REP_S;;;;;;;;;TOTAL_I;BIDEN;TRUMP;;;;;;;;;REP_PERCENT;T_MINUS_R;;IND_PERCENT;;;
COMMENT;;;;;;;;Nur straight;;;;;;;;;;Nur individualle;;;Achtung, das ist die Summe, mit straight votes!;;;;;;;;;;Min;16,1;;;
COMMENT;;;;;;;;;;Straight Party;;;;;;;;;;;Individual;;;;;;;;;;Max;55,7;;;
COMMENT;;TOTALS: 252 of 252;Registered voters;Ballots Cast;Turnout;;Total;DEM %;REP %;Democratic Party;Republican Party;Libertarian Party;US Taxpayers Party;Working Class Party;Green Party;Natural Law Party;;Total;Biden %;Trump %;Joseph R. Biden w/ Kamala D. Harris;Donald J. Trump w/ Michael R. Pence;Jo Jorgensen w/ Jeremy Cohen;Don Blankenship w/ William Mohr;Howie Hawkins w/ Angela Walker;Rocky De La Fuente w/ Darcy Richardson;Total write-in;;REP %;Trump % - REP %;;Ind %;;;
DATA;;Grand Rapids City Ward 1 Precinct 15;2315;934;40.35%;;756;81,5;15,5;616;117;4;2;12;3;2;;176;85,2;19,3;766;151;7;3;4;0;1;;15,5;3,8;;18,9;;;
DATA;;Grand Rapids City Ward 1 Precinct 16;2456;1110;45.2%;;853;83,2;13,7;710;117;7;4;7;3;5;;255;73,7;25,1;898;181;10;1;5;5;8;;13,7;11,4;;23,0;;;
DATA;;Grand Rapids City Ward 1 Precinct 17;2537;1561;61.53%;;978;62,0;35,3;606;345;14;1;10;1;1;;576;65,6;30,2;984;519;33;5;7;0;6;;35,3;-5,1;;37,1;;;
DATA;;Grand Rapids City Ward 1 Precinct 18;1323;605;45.73%;;485;86,8;10,5;421;51;5;0;4;0;4;;112;86,6;11,6;518;64;9;1;1;3;1;;10,5;1,1;;18,8;;;
DATA;;Grand Rapids City Ward 1 Precinct 19;2393;1365;57.04%;;878;66,1;30,2;580;265;10;2;11;8;2;;486;64,2;33,1;892;426;26;3;8;1;8;;30,2;2,9;;35,6;;;
DATA;;Grand Rapids City Ward 1 Precinct 20;2277;1955;85.86%;;1059;45,4;53,4;481;565;6;2;2;1;2;;883;58,3;37,9;996;900;32;5;3;1;5;;53,4;-15,4;;45,5;;;
DATA;;Grand Rapids City Ward 1 Precinct 21;1964;1654;84.22%;;922;43,2;55,6;398;513;7;0;2;2;0;;727;50,6;43,9;766;832;28;4;11;2;6;;55,6;-11,8;;44,1;;;
DATA;;Grand Rapids City Ward 1 Precinct 22;819;362;44.2%;;303;84,2;13,5;255;41;4;1;2;0;0;;58;72,4;24,1;297;55;7;0;0;0;2;;13,5;10,6;;16,1;;;
DATA;;Grand Rapids City Ward 1 Precinct 23;1903;1584;83.24%;;862;44,2;54,2;381;467;7;1;3;2;1;;713;56,9;40,5;787;756;16;4;1;1;10;;54,2;-13,6;;45,3;;;
DATA;;Grand Rapids City Ward 1 Precinct 24;1998;703;35.19%;;569;88,4;10,2;503;58;5;1;1;1;0;;133;88,7;6,0;621;66;9;2;4;0;0;;10,2;-4,2;;18,9;;;
DATA;;Grand Rapids City Ward 2 Precinct 25;1398;975;69.74%;;549;81,6;16,2;448;89;6;1;1;3;1;;419;81,6;15,5;790;154;14;1;3;0;6;;16,2;-0,7;;43,3;;;
DATA;;Grand Rapids City Ward 2 Precinct 26;1783;1226;68.76%;;716;69,0;29,7;494;213;5;0;2;1;1;;506;62,6;31,2;811;371;23;2;6;1;8;;29,7;1,5;;41,4;;;
DATA;;Grand Rapids City Ward 2 Precinct 27;1400;967;69.07%;;519;69,7;28,9;362;150;5;0;1;1;0;;443;70,2;26,6;673;268;16;0;1;1;3;;28,9;-2,3;;46,0;;;
DATA;;Grand Rapids City Ward 2 Precinct 28;2172;1464;67.4%;;887;69,9;28,1;620;249;8;1;4;3;2;;574;69,7;27,4;1020;406;20;1;6;0;8;;28,1;-0,7;;39,3;;;
DATA;;Grand Rapids City Ward 2 Precinct 29;2107;1113;52.82%;;750;74,4;23,5;558;176;9;3;1;2;1;;360;69,4;21,9;808;255;38;2;2;1;4;;23,5;-1,5;;32,4;;;
DATA;;Grand Rapids City Ward 2 Precinct 30;1757;1434;81.62%;;718;71,3;27,7;512;199;4;0;1;2;0;;707;76,9;18,7;1056;331;20;0;9;3;6;;27,7;-9,0;;49,6;;;
DATA;;Grand Rapids City Ward 2 Precinct 31;2472;1535;62.1%;;936;69,7;26,1;652;244;16;5;7;10;2;;597;68,0;29,3;1058;419;29;2;13;3;9;;26,1;3,2;;38,9;;;
DATA;;Grand Rapids City Ward 2 Precinct 32;1632;1038;63.6%;;600;70,7;27,5;424;165;6;0;2;3;0;;434;72,8;21,7;740;259;29;0;1;2;3;;27,5;-5,8;;42,0;;;
DATA;;Grand Rapids City Ward 2 Precinct 33;1000;767;76.7%;;400;82,0;16,5;328;66;1;2;1;2;0;;366;79,0;17,8;617;131;8;0;2;1;7;;16,5;1,3;;47,8;;;
